price,year,mileage,location,tax,seller_type,model
"Rp22,700,000",2024,"15,000 km",Kota Depok,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,600,000",2023,"7,500 km",Tanjung Sari,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,500,000",2019,"15,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,300,000",2021,"30,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,100,000",2024,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp19,600,000",2018,"30,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp20,950,000",2023,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp15,950,000",2018,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp17,500,000",2017,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp23,300,000",2024,"2,500 km",Kota Depok,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,800,000",2022,"7,500 km",Kab. Bandung,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,500,000",2022,"15,000 km",Kab.sleman,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp15,800,000",2019,"30,000 km",Kab.sleman,hidup,dealer,HONDA NEW VARIO CW FI
"Rp19,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp17,100,000",2016,"30,000 km",Sukaramai Ii,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,800,000",2020,"30,000 km",Sukaramai Ii,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,100,000",2022,"15,000 km",Sukaramai Ii,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp18,100,000",2018,"30,000 km",Sukaramai Ii,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp17,100,000",2016,"30,000 km",Sukaramai Ii,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,100,000",2022,"15,000 km",Sukaramai Ii,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp19,900,000",2021,"30,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,400,000",2023,"15,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp15,900,000",2016,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp15,000,000",2016,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp23,800,000",2023,"15,000 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,800,000",2023,"15,000 km",Karah,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp24,800,000",2023,"15,000 km",Karah,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp17,100,000",2017,"30,000 km",Karah,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp21,700,000",2022,"15,000 km",Karah,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp16,600,000",2017,"7,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp23,100,000",2023,"2,500 km",Padang Bulan,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,100,000",2022,"15,000 km",Padang Bulan,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,600,000",2023,"7,500 km",Padang Bulan,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp22,100,000",2024,"2,500 km",Kota Tangerang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp23,800,000",2023,"15,000 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp18,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,800,000",2022,"30,000 km",Tulangan,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp24,400,000",2022,"15,000 km",Kab. Garut,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp22,300,000",2021,"30,000 km",Banjarbendo,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,600,000",2022,"15,000 km",Bandar Kidul,hidup,dealer,HONDA ALN VARIO 160 CBS
